"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"CON","Mark Garnier
","37","-1","0","-1","-1","-1","0","1","1"
"LAB","Ruth George
","49","1","1","1","0","1","-1","-1","-1"
"SNP","Stephen Gethins
","64","0","1","0","0","1","-1","-1","-1"
"CON","Nusrat Ghani
","47","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Nick Gibb
","35","-1","-1","-1","0","-1","0","-1","0"
"SNP","Patricia Gibson
","58","0","1","0","0","1","-1","-1","-1"
"LAB","Preet Kaur Gill
","53","1","1","1","0","1","-1","-1","0"
"CON","Dame Cheryl Gillan
","55","-1","-1","-1","-1","-1","-1","-1","-1"
"OTH","Paul Girvan
","59","-1","-1","-1","0","-1","0","1","0"
"CON","John Glen
","50","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Mary Glindon
","40","1","0","1","1","0","-1","-1","0"
"LAB","Roger Godsiff
","66","1","1","1","1","1","-1","-1","-1"
"CON","Zac Goldsmith
","71","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Helen Goodman
","39","1","1","1","1","0","-1","-1","-1"
"CON","Robert Goodwill
","39","-1","-1","-1","-1","-1","1","-1","-1"
"SNP","Patrick Grady
","78","0","1","0","0","1","-1","0","-1"
"CON","Luke Graham
","61","-1","-1","-1","-1","-1","-1","0","1"
"CON","Richard Graham
","41","0","-1","-1","0","-1","-1","-1","0"
"CON","Bill Grant
","56","-1","-1","-1","-1","-1","-1","-1","1"
"CON","Helen Grant
","44","-1","-1","-1","-1","-1","-1","-1","-1"
"SNP","Peter Grant
","52","0","1","0","0","1","-1","-1","-1"
"CON","James Gray
","50","-1","-1","-1","-1","-1","1","1","-1"
"SNP","Neil Gray
","60","0","1","0","0","1","-1","-1","-1"
"CON","Chris Green
","44","-1","-1","-1","-1","-1","1","1","-1"
"CON","Damian Green
","40","1","-1","-1","-1","-1","-1","0","1"
"LAB","Kate Green
","51","1","1","1","0","1","-1","-1","-1"
"CON","Justine Greening
","72","0","1","0","0","1","-1","0","0"
"LAB","Lilian Greenwood
","53","1","1","1","0","1","-1","-1","-1"
"LAB","Margaret Greenwood
","55","1","1","1","0","0","-1","-1","0"
"CON","Dominic Grieve
","51","0","1","-1","0","1","-1","-1","-1"
"LAB","Nia Griffith
","43","1","1","1","1","0","-1","-1","0"
